date,All items,Food including alcohol and tobacco,Non-energy industrial goods,Energy,Services
May 2016,-0.11506008693429226,0.17716099773242644,0.1408514337322191,-0.787712826333712,0.41881319514661275
Apr 2016,-0.25641025641026005,0.15523587851263193,0.13787015919611845,-0.8509596104268111,0.3698176284083764
Mar 2016,-0.03862495171881181,0.15285429709732418,0.13566950596252214,-0.850295298165138,0.5969018608208018
Feb 2016,-0.13024225058608274,0.11396214600825688,0.18747175141243203,-0.7870420070011667,0.43409646548423914
Jan 2016,0.32765399737876805,0.1954316752429968,0.1976129032258095,-0.5252385185185185,0.49910346598202565
Dec 2015,0.24516129032257772,0.23694748923959924,0.12537042925278272,-0.6206609294320136,0.5044885798137023
Nov 2015,0.1288992008249659,0.29062614810562204,0.14593405846362867,-0.7709174642807616,0.4857844750032154
Oct 2015,0.3860010293360746,0.3049530374838427,0.15495658088652386,-0.9053548563611485,0.8641453868856649
Sep 2015,0.20576131687242358,0.26584205983889464,0.07475258787396202,-0.9405185084745771,0.8345562812139838
Aug 2015,0.43916300697494626,0.2522094263476508,0.10191963341557933,-0.7590116784356323,0.8421881413910989
Jul 2015,0.5560584507953018,0.1780682863714766,0.11160467036207083,-0.5929620526671169,0.8446494282083868
Jun 2015,0.5010277492291888,0.22559954102122695,0.0776367147563346,-0.545802505725449,0.7577317260836108
May 2015,0.5915637860082223,0.22832129032258128,0.05948404616429142,-0.5126853902241424,0.8396096366915744
Apr 2015,0.20554984583761124,0.18875010746524934,0.035662182023739365,-0.6139487248684398,0.6146842443729872
Mar 2015,-0.06433350488934271,0.12386655211912881,-0.0029850102203058657,-0.6306115680194144,0.45886836682122234
Feb 2015,-0.28571428571428426,0.09559187759187454,-0.027815873015874078,-0.8364533118366255,0.49339734159246906
Jan 2015,-0.5992704533611359,-0.016847472150814693,-0.018622741764081473,-0.9823274633687323,0.45081193255512975
Dec 2014,-0.16746103310575222,-0.0028341701334072635,-0.012099432463107697,-0.6797951612903236,0.5306229169358009
Nov 2014,0.2843846949327803,0.09115109573241272,-0.021118872410277576,-0.27609124087591247,0.4894392304692552
Oct 2014,0.38749677086023915,0.09981163394919006,-0.021130833710922035,-0.21303862142952915,0.5224026496947722
Sep 2014,0.3225390272222939,0.05414438194143884,0.04554865542388073,-0.25189140511190644,0.4820602175602201
Aug 2014,0.36297640653357677,-0.05962020405230862,0.08165869180907646,-0.21714664005322756,0.5379250801796045
Jul 2014,0.37642782969884736,-0.06793237822349425,-0.012565837557465378,-0.10549759293928915,0.5339430078476772
Jun 2014,0.4905757810482955,-0.04805680354843373,-0.015127724795639466,0.010200782092773461,0.5558196934268642
May 2014,0.5040713454827459,0.028366116295762925,-0.006029185520365075,-0.0014590252463872245,0.47937493486190697
Apr 2014,0.7116056410919874,0.14256747005339873,0.021106924643586752,-0.12396985460851,0.6877680345007864
Mar 2014,0.46535677352636945,0.2029143642412868,0.048507849829350504,-0.22261877723491383,0.45109293244826376
Feb 2014,0.7062516348417556,0.29535137880986967,0.11643989135568897,-0.2510287401574798,0.5480494053064902
Jan 2014,0.7613546862693598,0.34449869224062857,0.05676038338657914,-0.13485437408734868,0.49399842561007357
Dec 2013,0.8443751623798278,0.3479132593457915,0.06853846153846117,0.0014735851592963581,0.4304606550959162
Nov 2013,0.8604954367666187,0.3150285714285712,0.06524489332727904,-0.11872202166065016,0.6078072257383985
Oct 2013,0.7285974499089283,0.3617100426407869,0.08711181818181854,-0.19066859928844487,0.49458738501971117
Sep 2013,1.0956045389330944,0.5074733570159846,0.1064804392587519,-0.10353719008264446,0.6054919217128615
Aug 2013,1.3399894902785023,0.6234485315929995,0.123163726766898,-0.03634615384615384,0.6109044768349814
Jul 2013,1.5956745351444126,0.6778351126927638,0.12970744995854275,0.17121146271900128,0.595866927592954
Jun 2013,1.6135379771743272,0.6265923190546521,0.20038792314730114,0.17266538830297093,0.6074067729608663
May 2013,1.4156508061344844,0.6288215238659981,0.21852451539338735,-0.025101562500000257,0.6205142101784531
Apr 2013,1.1781646812410076,0.5549896080760114,0.22801985168282624,-0.046591047947935726,0.4637428986656088
Mar 2013,1.7359284587059352,0.523746842965382,0.2641571330117171,0.18397556390977446,0.7792033404029697
Feb 2013,1.8516051685093922,0.5255426356589168,0.22491749017740595,0.42903231965089395,0.6510471134704773
Jan 2013,1.994912304190667,0.6276507650765067,0.2187888835877868,0.42789599999999983,0.6936484864648643
Dec 2012,2.217500995883683,0.6003673746046102,0.29531838565022306,0.5750728533031552,0.7481489107332593
Nov 2012,2.198534310459701,0.5757283018867926,0.3108655346489241,0.6290267175572538,0.6820849638166705
Oct 2012,2.493665822109621,0.5927160400242605,0.3080160827110865,0.8753336178688281,0.7250628342245974
Sep 2012,2.5960123109862137,0.5608262989486535,0.3365056140757036,0.9983893817973684,0.7077628907293594
Aug 2012,2.6152601779455344,0.571022914757106,0.3107849192100544,0.974013572047358,0.7573211872267152
Jul 2012,2.41761210156671,0.5558615901113985,0.43103030303030654,0.671348609309698,0.7535906494886435
Jun 2012,2.363367799113744,0.6105045731707343,0.36620574606116923,0.6706205493387594,0.7214143431635425
May 2012,2.4301825993555344,0.5287815356489926,0.3618043654001614,0.8053215266734122,0.7408728642540066
Apr 2012,2.578219417214988,0.5925934486453395,0.36862135922330413,0.894804510198219,0.7233536290322535
Mar 2012,2.673507966513643,0.620195121951221,0.38780065207266173,0.9382661031769163,0.737243895858628
Feb 2012,2.737101409607226,0.6375607764597141,0.2988463482132099,1.0488038541977893,0.7610898648648617
Jan 2012,2.6525563496426505,0.5959687499999988,0.26847633955448735,1.0147703781829132,0.7878995923913048
Dec 2011,2.756174102878968,0.6055920459841528,0.3276395673412405,1.0034346004654762,0.816806067172263
Nov 2011,3.019903912148254,0.6503928850054599,0.3503170731707325,1.2732914285714276,0.7717128429097905
Oct 2011,3.036548502335798,0.647096834848008,0.35746655810166283,1.2899043353063524,0.7640152463925967
Sep 2011,2.9906284454244787,0.5784554300062764,0.3366075193253707,1.2890381335478676,0.8098485838779966
Aug 2011,2.5435443737904384,0.5145326223337503,-0.0034053374820505696,1.2191957398741335,0.8377932152993671
Jul 2011,2.5484764542936333,0.5077625685199686,-0.013680288461540601,1.2241076377698998,0.8572084575765818
Jun 2011,2.7030754378706296,0.5165061825011719,0.25611163062536396,1.1328054167338386,0.830236500341757
May 2011,2.7168666390842624,0.5503346913193357,0.28209412176347387,1.150260841631867,0.7514111202410312
Apr 2011,2.816512494822576,0.43495257473782994,0.282324617719153,1.290687126473915,0.8500866703236446
Mar 2011,2.6757243865243407,0.45760018844221034,0.23047247329498696,1.350341624114644,0.683328214971208
Feb 2011,2.4250070086907622,0.4409407500787884,0.003424187725633521,1.3570028721067748,0.6845482763356668
Jan 2011,2.305961754780653,0.3712324187953323,0.13079593564775457,1.2415117259996626,0.6237551020408153
Dec 2010,2.2033189234416573,0.41059108219612855,0.19195539164032566,1.0520497760936962,0.554047194402526
Nov 2010,1.9166200335758117,0.34710691024622725,0.2289726059470825,0.7564676258992802,0.5762871766495997
Oct 2010,1.932773109243691,0.3144132823698044,0.22932160862937964,0.8166396943913865,0.5807216779356946
Sep 2010,1.867190790397302,0.28698598279706844,0.2480447725930266,0.73900398682614,0.598732394366195
Aug 2010,1.586855778682783,0.2991981522777945,0.06555079764903364,0.5808704210886678,0.617860962566838
Jul 2010,1.7331266732422208,0.24935649690623518,0.09364536355962721,0.7778450949642798,0.5900109935412976
Jun 2010,1.4977603583426755,0.17864976303317637,0.1486983903184107,0.5924256120527316,0.5653082144341369
