date,name,value
2019-05-01,Volatility,1.5731185051211596
2019-05-01,Excl. energy & food,1.563175476517974
2019-04-01,Weighted median,2.086314050041973
2019-04-01,Prop. increasing,0.711864406779661
2019-04-01,Volatility,1.5889860533986884
2019-04-01,Excl. energy & food,1.6367788035668556
2019-03-01,Weighted median,1.79454543687999
2019-03-01,Prop. increasing,0.7175141242937854
2019-03-01,Volatility,1.5875537534937953
2019-03-01,Excl. energy & food,1.616067995148848
2019-02-01,Weighted median,1.9453058242158834
2019-02-01,Prop. increasing,0.7288135593220338
2019-02-01,Volatility,1.5733321020492543
2019-02-01,Excl. energy & food,1.7441056147354699
2019-01-01,Weighted median,1.995979978568426
2019-01-01,Prop. increasing,0.7627118644067796
2019-01-01,Volatility,1.5182970655123638
2019-01-01,Excl. energy & food,1.8444266238973532
