date,Period,Headline,FT core,geo,"All items excluding energy, food, alcohol and tobacco","Excluding energy, food, alcoholic beverages & tobacco","All items, less fresh food and energy"
2023-05-01,Three months,7.532195404084008,5.710496760989479,UK,NA,7.176073566327834,NA
2023-04-01,Three months,8.667816684941698,7.265870138619756,UK,NA,7.770567842247544,NA
2023-03-01,Three months,6.6524224286013345,5.454268786962944,UK,NA,6.181680861630268,NA
2023-02-01,Three months,5.779560320290789,5.502560700864933,UK,NA,6.204177001883693,NA
2023-01-01,Three months,4.513952494906537,4.461255008022588,UK,NA,5.4841118159209,NA
2022-12-01,Three months,11.239082375513677,5.083413105426503,UK,NA,6.639108523567638,NA
2022-11-01,Three months,12.181593050395724,5.888547425197688,UK,NA,6.959204421196574,NA
2022-10-01,Three months,11.650417014905123,6.053002005690538,UK,NA,7.326550256034459,NA
2022-09-01,Three months,7.89361191964939,5.470429987759905,UK,NA,7.115313504723431,NA
2022-08-01,Three months,9.209144199329543,5.3653392514857305,UK,NA,6.911294574979121,NA
2022-07-01,Three months,9.803292058626,5.501791749864571,UK,NA,5.834601970043418,NA
2022-06-01,Three months,14.568430679199462,4.501350467818331,UK,NA,5.53020156705577,NA
2022-05-01,Three months,14.75467516899782,5.844817419104711,UK,NA,5.862627100042794,NA
2022-04-01,Three months,14.615396821870586,5.478839018001338,UK,NA,6.372050004818486,NA
2022-03-01,Three months,8.625256090291344,5.658217158468016,UK,NA,6.975959721030867,NA
2022-02-01,Three months,6.793285467356491,4.322315555294502,UK,NA,6.232264590526793,NA
2022-01-01,Three months,8.173837608843515,4.998076715631759,UK,NA,6.534023610674278,NA
2021-12-01,Three months,9.521604632395553,5.210832195059554,UK,NA,6.374050611809401,NA
2021-11-01,Three months,8.899277419357876,4.274571468701607,UK,NA,5.756371241312719,NA
2021-10-01,Three months,7.878875947661124,4.283503053252299,UK,NA,5.906529258727278,NA
2021-09-01,Three months,4.965174002174444,3.6796159092826337,UK,NA,4.210887140800801,NA
2021-08-01,Three months,5.886120899961722,3.9392815085943336,UK,NA,4.864803514826788,NA
2021-07-01,Three months,5.342166110117885,3.473404927747974,UK,NA,4.55574329001136,NA
2021-06-01,Three months,5.131453668554564,3.610927643339127,UK,NA,4.481851641478629,NA
2021-05-01,Three months,3.400526473699017,3.145984642717609,UK,NA,3.6969637873501826,NA
2021-04-01,Three months,0.7942659409490682,2.039519920913418,UK,NA,1.092295046007652,NA
2021-03-01,Three months,2.1568206644711596,2.196680775803182,UK,NA,1.7694365183894556,NA
2021-02-01,Three months,2.4836909507287563,2.243905759009458,UK,NA,1.6550682148363194,NA
2021-01-01,Three months,2.855486579877886,2.0220071204533756,UK,NA,2.071859008384669,NA
2020-12-01,Three months,0.3095310626223924,1.8157164719365375,UK,NA,1.4307507680499931,NA
2020-11-01,Three months,1.1245423220207496,1.7908339424722337,UK,NA,2.217606528843863,NA
2020-10-01,Three months,-0.7981968504274795,1.146055849031667,UK,NA,0.33899872210780835,NA
2020-09-01,Three months,2.3269284661540324,1.970837543041604,UK,NA,1.5596684582461329,NA
2020-08-01,Three months,1.2846327924808332,2.11412539549106,UK,NA,0.5140646845058772,NA
2020-07-01,Three months,3.1049276870662723,2.7506966845872256,UK,NA,2.1140580548048904,NA
2020-06-01,Three months,-1.7774158183757829,1.021653274876077,UK,NA,0.4847235047376275,NA
2020-05-01,Three months,-2.9690794690059863,1.1595352037278246,UK,NA,-0.03711969441393403,NA
2020-04-01,Three months,-2.145460977173952,1.6276360515284236,UK,NA,1.20478206461756,NA
2020-03-01,Three months,1.6446920667201992,2.472179606370141,UK,NA,1.9638990912023813,NA
2020-02-01,Three months,1.9358066187180167,2.027997948461389,UK,NA,1.6462813350014427,NA
2020-01-01,Three months,2.6408644940477677,2.2233728046109733,UK,NA,1.6661100400247486,NA
2019-12-01,Three months,0.1072280743899201,1.8955018068170728,UK,NA,1.066252335537432,NA
2019-11-01,Three months,0.7638115287844194,2.22768088781853,UK,NA,1.6442331500596596,NA
2019-10-01,Three months,0.5144547225467866,1.835993516891934,UK,NA,1.5550841564332174,NA
2019-09-01,Three months,2.348499715985386,2.150547513912889,UK,NA,1.7723296212322823,NA
2019-08-01,Three months,2.198562476199317,2.1465829450133587,UK,NA,1.7488495555321837,NA
2019-07-01,Three months,2.018551071729946,2.05410107085688,UK,NA,1.4647900306275163,NA
2019-06-01,Three months,2.0671883449763007,2.2683853072367324,UK,NA,1.4984082261106255,NA
2019-05-01,Three months,2.0351505986277107,1.9647912586395213,UK,NA,1.6323382498962369,NA
2019-04-01,Three months,1.949817675269916,1.6197534720691114,UK,NA,1.5172753082297596,NA
2019-03-01,Three months,0.8037487007038324,2.055359591728439,UK,NA,1.4546319870333946,NA
2019-02-01,Three months,0.9347023899333172,2.2269169220892,UK,NA,1.8079773357921436,NA
2019-01-01,Three months,1.329204823426866,2.159475256341538,UK,NA,2.1265239685205772,NA
2026-07-01,One month,6.304344749826685,3.345412307247747,UK,NA,3.151472078243689,NA
2026-06-01,One month,2.4615328949183723,3.0067408134275504,UK,NA,3.0926867985672235,NA
2026-05-01,One month,2.234948475545151,2.810289182703935,UK,NA,3.1698656969474825,NA
2026-04-01,One month,2.0495746759741973,2.5898173074546205,UK,NA,1.2975168606435217,NA
2026-03-01,One month,5.433156112604465,3.027083104717625,UK,NA,2.5625455485501547,NA
2026-02-01,One month,2.087298137558169,2.796723939664934,UK,NA,3.1073442820933828,NA
2026-01-01,One month,2.8848943992670684,1.977997945240928,UK,NA,3.019439795554235,NA
2025-12-01,One month,4.600536305654956,3.32760938689273,UK,NA,3.1001064168134196,NA
2025-11-01,One month,0.4161794231881455,2.2688584874750823,UK,NA,1.7543455636574556,NA
2025-10-01,One month,2.116200693238879,3.610470513122402,UK,NA,2.9532133855671328,NA
2025-09-01,One month,0.9797731046241376,1.5271582194218634,UK,NA,2.080062594586307,NA
2025-08-01,One month,2.882206975036117,3.650684018430554,UK,NA,2.6471466087750084,NA
2025-07-01,One month,3.843185334264887,3.0134873531775885,UK,NA,3.49994531706459,NA
2025-06-01,One month,4.878585796726687,3.74945900412642,UK,NA,3.923448935196916,NA
2025-05-01,One month,1.6454544753637723,3.4241242853416063,UK,NA,1.325532672824847,NA
2025-04-01,One month,8.273897021345222,3.558600205342919,UK,NA,7.474019746994021,NA
2025-03-01,One month,1.5623097554103849,3.244307419968715,UK,NA,2.8822537138115667,NA
2025-02-01,One month,2.3357633547384182,2.843712950947317,UK,NA,2.0080733306899967,NA
2025-01-01,One month,7.342032104896679,3.053712493937453,UK,NA,5.691156441041967,NA
2024-12-01,One month,3.1686608141288097,2.7568966354816453,UK,NA,2.194702868899956,NA
2024-11-01,One month,3.944266942541308,2.666547862740482,UK,NA,4.0596042824789125,NA
2024-10-01,One month,4.748131302463743,3.4437791328554868,UK,NA,4.319631135297142,NA
2024-09-01,One month,0.8584731208658214,2.841405755828083,UK,NA,2.0572096107101867,NA
2024-08-01,One month,3.3709448483733917,3.1755857685149542,UK,NA,4.774851919330225,NA
2024-07-01,One month,1.0905613371776646,2.457173885445884,UK,NA,2.6610913532082225,NA
2024-06-01,One month,2.267916048562224,3.242260762058703,UK,NA,3.374663168141412,NA
2024-05-01,One month,3.5025457286107065,3.4821315936264794,UK,NA,3.747890836710388,NA
2024-04-01,One month,-2.751695464123616,2.6995209738585975,UK,NA,2.777942717016124,NA
2024-03-01,One month,4.572959487288153,3.5548351499235817,UK,NA,4.051021561670809,NA
2024-02-01,One month,3.960068300451791,3.5347611834639783,UK,NA,3.3917867154628745,NA
2024-01-01,One month,1.706900826680724,2.7081264489201256,UK,NA,1.7046108521159509,NA
2023-12-01,One month,4.772537799447307,3.275088268763662,UK,NA,5.773917991246713,NA
2023-11-01,One month,-0.3158308845836677,2.7709495900738896,UK,NA,1.7008056215684908,NA
2023-10-01,One month,-2.44123931996022,4.017871977738019,UK,NA,3.1987863969911823,NA
2023-09-01,One month,7.156336818736442,4.412013272025123,UK,NA,5.932328617477567,NA
2023-08-01,One month,3.604414590895733,3.97394097825161,UK,NA,1.885346044864633,NA
2023-07-01,One month,-1.8391062263675928,3.923372760246277,UK,NA,5.998752961364295,NA
2023-06-01,One month,2.4759081679359922,3.9394352542344127,UK,NA,3.76288644618108,NA
2023-05-01,One month,7.633568749360364,5.183829567453621,UK,NA,7.265044614942928,NA
2023-04-01,One month,7.947568570643515,5.557566981923881,UK,NA,8.237337260852584,NA
2023-03-01,One month,7.0175323992153205,4.719767665506097,UK,NA,6.037189912246932,NA
2023-02-01,One month,11.0797840804268,6.259662342413862,UK,NA,9.059927289986236,NA
2023-01-01,One month,2.052162699176985,3.8403314190715094,UK,NA,3.5202647672751386,NA
2022-12-01,One month,4.411427372516807,4.382968377361855,UK,NA,6.104600775410995,NA
2022-11-01,One month,7.140229118230512,5.217593835745342,UK,NA,6.856651678278158,NA
2022-10-01,One month,23.047158563400984,5.704952574156627,UK,NA,6.958114957870976,NA
2022-09-01,One month,7.087960839323637,4.58546841547374,UK,NA,7.062946106315238,NA
2022-08-01,One month,5.625507920162542,5.202124411840447,UK,NA,7.961418137061194,NA
2022-07-01,One month,11.039561236974848,4.4740825015790024,UK,NA,6.327822283933471,NA
2022-06-01,One month,11.053043212567616,4.839486840820472,UK,NA,6.4523529985965,NA
2022-05-01,One month,7.358857728605317,4.868237231397423,UK,NA,4.732352290465758,NA
2022-04-01,One month,26.132367280783946,4.435848463693688,UK,NA,5.413001539833084,NA
2022-03-01,One month,11.59551354631454,5.070196387801751,UK,NA,7.461516320851724,NA
2022-02-01,One month,6.968425966424552,3.7373291639826856,UK,NA,6.251591327645634,NA
2022-01-01,One month,7.371766848053141,4.920038310112308,UK,NA,7.218608517267744,NA
2021-12-01,One month,6.044009052051091,4.189908664401774,UK,NA,5.2358489489073845,NA
2021-11-01,One month,11.170734148455663,4.875332528647501,UK,NA,7.1596074803433,NA
2021-10-01,One month,11.435298992200792,4.199580145869208,UK,NA,6.736330494524934,NA
2021-09-01,One month,4.246561248740566,2.937954588121681,UK,NA,3.413262584979204,NA
2021-08-01,One month,8.074868883737562,4.235518973475808,UK,NA,7.61670707913964,NA
2021-07-01,One month,2.647702880986058,2.491954498595714,UK,NA,1.691192475914849,NA
2021-06-01,One month,7.014632132550536,4.1610864189297985,UK,NA,5.372237761108889,NA
2021-05-01,One month,6.417814411873279,4.044086464684642,UK,NA,6.667996529272213,NA
2021-04-01,One month,2.0329657722607974,2.81100795641187,UK,NA,1.475743171614985,NA
2021-03-01,One month,1.8153842054443816,2.1796014118985276,UK,NA,3.0153026991940335,NA
2021-02-01,One month,-1.4280009419564976,2.7570546961721214,UK,NA,-1.1696837583439423,NA
2021-01-01,One month,6.227053739889965,2.3808696649678933,UK,NA,3.5285619800369927,NA
2020-12-01,One month,2.7958480908667704,2.7934943304848567,UK,NA,2.6683876369921533,NA
2020-11-01,One month,-0.3512904525989069,1.3068110609735226,UK,NA,0.05093469955324004,NA
2020-10-01,One month,-1.4675350475760296,2.22952592861234,UK,NA,1.5900158792768735,NA
2020-09-01,One month,5.321898922130308,2.289618278189554,UK,NA,5.076341698961029,NA
2020-08-01,One month,-5.927936520237099,1.8276431095540928,UK,NA,-5.364666620147906,NA
