week,n,Mood (weekly),Mood,Week
2021-10-09,177,-0.22961602855277397,-0.26606027045335673,2021-10-09
2021-10-02,151,-0.2515683303987865,-0.28997223157086854,2021-10-02
2021-09-25,164,-0.3682263391251912,-0.2630312490097866,2021-09-25
2021-09-18,152,-0.21483038373667515,-0.23302416279787735,2021-09-18
2021-09-11,151,-0.32526387302282117,-0.18737348115466,2021-09-11
2021-09-04,119,-0.1438044001544587,-0.1253032498354055,2021-09-04
2021-08-28,108,-0.24819799427755437,-0.14437259999577898,2021-08-28
2021-08-21,107,-0.03222765716380581,-0.08154755851534616,2021-08-21
2021-08-14,119,-0.07698294774580308,-0.0995602048789961,2021-08-14
2021-08-07,124,-0.22008180079595263,-0.13608926244843267,2021-08-07
2021-07-31,135,0.00310217164417689,-0.12685861077971688,2021-07-31
2021-07-24,145,-0.10427824261840558,-0.18265553213150715,2021-07-24
2021-07-17,164,-0.2230991780235493,-0.18685543267189636,2021-07-17
2021-07-10,140,-0.1831591941210895,-0.1493698509438249,2021-07-10
2021-07-03,141,-0.2200855137629843,-0.11046512649761044,2021-07-03
2021-06-26,131,-0.12107784477996232,-0.06059437785309909,2021-06-26
2021-06-19,164,-0.0731568511112636,-0.0501969983750615,2021-06-19
2021-06-12,162,-0.02754029633623152,-0.05545279020526687,2021-06-12
2021-06-05,145,-0.02060251918493894,-0.03021793547523244,2021-06-05
2021-05-29,140,-0.07948832686781196,0.00213986112435261,2021-05-29
2021-05-22,176,-0.09418001843208508,0.00636715796475548,2021-05-22
2021-05-15,156,0.07339912258390621,0.01170346953010906,2021-05-15
2021-05-08,143,0.1088286672134013,-0.00365616497229607,2021-05-08
2021-05-01,184,-0.06257913950620048,-0.03654316320792555,2021-05-01
2021-04-24,153,-0.07283477217067079,-0.04370462230007081,2021-04-24
2021-04-17,163,0.01196058457428567,-0.0374580765092575,2021-04-17
2021-04-10,145,-0.02271932572911661,-0.08007999701341775,2021-04-10
2021-04-03,139,-0.09122497587478154,-0.0695600568429889,2021-04-03
2021-03-27,190,-0.04784858900741753,-0.04555153789228164,2021-03-27
2021-03-20,162,-0.1585270974423553,-0.08079993530529164,2021-03-20
2021-03-13,155,0.01936043495259881,-0.0305067086713602,2021-03-13
2021-03-06,214,0.00480909992804744,-0.07978081353113861,2021-03-06
2021-02-27,161,-0.1888421786594575,-0.14163988893732923,2021-02-27
2021-02-20,179,0.04264580909337044,-0.0925138083409367,2021-02-20
2021-02-13,161,-0.17773598448651484,-0.1464024274419213,2021-02-13
2021-02-06,164,-0.242627201696715,-0.156667609255273,2021-02-06
2021-01-30,178,0.00766214372611261,-0.08864743493237634,2021-01-30
2021-01-23,188,-0.17290866731056814,-0.1168874222364318,2021-01-23
2021-01-16,193,-0.2187967117399215,-0.12742761957432597,2021-01-16
2021-01-09,140,0.02945349559487164,-0.06107966346120791,2021-01-09
2021-01-02,99,-0.1052978054901092,-0.07377747182334615,2021-01-02
2020-12-26,138,-0.2150694566621448,-0.06152894108930121,2020-12-26
2020-12-19,207,0.04659511271255066,-0.04882432981202416,2020-12-19
2020-12-12,201,-0.02133773785368129,-0.1065950228228618,2020-12-12
2020-12-05,213,-0.05630368255392948,-0.11907530387036493,2020-12-05
2020-11-28,207,-0.16425101155303654,-0.13071165853273253,2020-11-28
2020-11-21,213,-0.18448765933079989,-0.10588170723374184,2020-11-21
2020-11-14,178,-0.07125886204369375,-0.09615582701653733,2020-11-14
2020-11-07,189,-0.10284910120339992,-0.1583395263923016,2020-11-07
2020-10-31,187,-0.06493120635707388,-0.18942516189539044,2020-10-31
2020-10-24,207,-0.14558413846198176,-0.24696920305237616,2020-10-24
2020-10-17,204,-0.31999365954675085,-0.31758993577794514,2020-10-17
2020-10-10,218,-0.2271916432157552,-0.3005394944664017,2020-10-10
2020-10-03,200,-0.29510737098501694,-0.29212123215932,2020-10-03
2020-09-26,181,-0.4280670693642576,-0.28405474443706913,2020-09-26
2020-09-19,171,-0.251791894300577,-0.24409995069151616,2020-09-19
2020-09-12,198,-0.19351859398742852,-0.20113640964143087,2020-09-12
2020-09-05,182,-0.2628414200960133,-0.18413431878666545,2020-09-05
2020-08-29,164,-0.26824789438204577,-0.1870687568714966,2020-08-29
2020-08-22,152,-0.07993773010023587,-0.179753479243488,2020-08-22
2020-08-15,160,-0.12551023056836677,-0.2308901890841854,2020-08-15
2020-08-08,202,-0.27457917243533797,-0.26415531599547104,2020-08-08
2020-08-01,202,-0.23898678387001135,-0.2622151605774865,2020-08-01
2020-07-25,226,-0.2844845694630254,-0.29924602500796893,2020-07-25
2020-07-18,209,-0.25857073821350945,-0.2619816574152562,2020-07-18
2020-07-11,218,-0.2668185507633997,-0.2606260636331617,2020-07-11
2020-07-04,181,-0.3871102415919412,-0.2815530013533505,2020-07-04
2020-06-27,208,-0.1354270990921745,-0.2503414826558986,2020-06-27
2020-06-20,217,-0.2531483630851313,-0.29122235346764014,2020-06-20
2020-06-13,196,-0.35052630164415494,-0.3336035291126393,2020-06-13
2020-06-06,169,-0.2622641668021336,-0.3420365739687637,2020-06-06
2020-05-30,160,-0.2989505823391406,-0.3664126003276213,2020-05-30
2020-05-23,196,-0.422673065665128,-0.4182970035571123,2020-05-23
2020-05-16,212,-0.38425848106865257,-0.4325410868289817,2020-05-16
2020-05-09,195,-0.35976827223756414,-0.4307895077297009,2020-05-09
2020-05-02,188,-0.5064881952571045,-0.44616848242849216,2020-05-02
2020-04-25,206,-0.4796493987526057,-0.4479169640385132,2020-04-25
2020-04-18,188,-0.3772521646715295,-0.4214110966614124,2020-04-18
2020-04-11,165,-0.42128417103272914,-0.4342747530474878,2020-04-11
2020-04-04,214,-0.5134821216971883,-0.38276041427861335,2020-04-04
2020-03-28,231,-0.37362592924420246,-0.34598533485616667,2020-03-28
2020-03-21,258,-0.4287067902158313,-0.29637318807256685,2020-03-21
2020-03-14,245,-0.21522681595723137,-0.23586053642138383,2020-03-14
2020-03-07,215,-0.3663818040074015,-0.22992914894033303,2020-03-07
2020-02-29,165,-0.17517734210980335,-0.17887415841692345,2020-02-29
2020-02-22,149,-0.18665618361109912,-0.20902111325336625,2020-02-22
2020-02-15,168,-0.19150126603302817,-0.21289477457059144,2020-02-15
2020-02-08,165,-0.16216184191376318,-0.19167269751421576,2020-02-08
2020-02-01,184,-0.29576516145557447,-0.20497744311243568,2020-02-01
2020-01-25,197,-0.20215082887999977,-0.16931189646496536,2020-01-25
2020-01-18,184,-0.10661295780752564,-0.16250808387642002,2020-01-18
2020-01-11,130,-0.21538082430664285,-0.15044963986383375,2020-01-11
2020-01-04,91,-0.15310297486569308,-0.13109095503383772,2020-01-04
2019-12-28,73,-0.17493557852581845,-0.1984320035065096,2019-12-28
2019-12-21,165,-0.05837918175718062,-0.21170644059703875,2019-12-21
2019-12-14,175,-0.1379460849866587,-0.2452101399162203,2019-12-14
2019-12-07,161,-0.42246716875638063,-0.2411216106900517,2019-12-07
2019-11-30,138,-0.22803332688793507,-0.21610020073195688,2019-11-30
2019-11-23,174,-0.19239397903390676,-0.2155451520557673,2019-11-23
2019-11-16,146,-0.12159196808198432,-0.2459812365464848,2019-11-16
2019-11-09,184,-0.3223815289240013,-0.31281432956472277,2019-11-09
2019-11-02,158,-0.22581313218317697,-0.29224253905206815,2019-11-02
2019-10-26,157,-0.3141383169967767,-0.3676059689600253,2019-10-26
2019-10-19,201,-0.3889243401549364,-0.32932739900073715,2019-10-19
2019-10-12,184,-0.24009436687338265,-0.30818696597799045,2019-10-12
2019-10-05,173,-0.5272668518150053,-0.2888583541681232,2019-10-05
2019-09-28,168,-0.16102403715962424,-0.2471142917063576,2019-09-28
2019-09-21,223,-0.30436260806394966,-0.2923097815283996,2019-09-21
2019-09-14,191,-0.1627799196339137,-0.2857654151083836,2019-09-14
2019-09-07,177,-0.3602906019679428,-0.32040932907490194,2019-09-07
2019-08-31,169,-0.3418059964477923,-0.3506590218888347,2019-08-31
2019-08-24,167,-0.2781851423838855,-0.3399249655504627,2019-08-24
2019-08-17,170,-0.30135557549998726,-0.3691785239968038,2019-08-17
2019-08-10,182,-0.4812893732236736,-0.38501008715674345,2019-08-10
2019-08-03,180,-0.2988697710943045,-0.32808700774231236,2019-08-03
2019-07-27,150,-0.39519937616924966,-0.3420720455985436,2019-07-27
2019-07-20,161,-0.3646818281397462,-0.29500673926652643,2019-07-20
2019-07-13,187,-0.25359705556594914,-0.2737866423945031,2019-07-13
2019-07-06,189,-0.3548099225192294,-0.28649103346817534,2019-07-06
2019-06-29,191,-0.20693815084118097,-0.289165100726263,2019-06-29
2019-06-22,170,-0.27980144065165297,-0.3232428293411783,2019-06-22
2019-06-15,192,-0.3044146198606381,-0.33482095247575855,2019-06-15
2019-06-08,222,-0.36550619155158,-0.33121281011822384,2019-06-08
2019-06-01,174,-0.34324906530084226,-0.28802377652982103,2019-06-01
2019-05-25,198,-0.3261139331899738,-0.24326946508611644,2019-05-25
2019-05-18,205,-0.2899820504304993,-0.2420947748147147,2019-05-18
2019-05-11,189,-0.1927500571979688,-0.2021364435607618,2019-05-11
2019-05-04,160,-0.1642318195260238,-0.23089058375322308,2019-05-04
2019-04-27,145,-0.32141517210436693,-0.2513398953547715,2019-04-27
2019-04-20,118,-0.1301487254146877,-0.22111472956365688,2019-04-20
2019-04-13,164,-0.30776661796781385,-0.25550158633672326,2019-04-13
2019-04-06,185,-0.24602906593221768,-0.23063490721463595,2019-04-06
2019-03-30,161,-0.2005145089399084,-0.2725226785130979,2019-03-30
2019-03-23,165,-0.26769615250695317,-0.2680128411289023,2019-03-23
2019-03-16,184,-0.20829990147946456,-0.2574454428271921,2019-03-16
2019-03-09,210,-0.4135801511260655,-0.2707410483499673,2019-03-09
2019-03-02,160,-0.18247515940312592,-0.24047906977190783,2019-03-02
2019-02-23,179,-0.22542655930011263,-0.3071146166583844,2019-02-23
2019-02-16,161,-0.2614823235705652,-0.3344667077895108,2019-02-16
2019-02-09,160,-0.29253223681382756,-0.33093279741295006,2019-02-09
2019-02-02,219,-0.44901734694903217,-0.2846492448840575,2019-02-02
2019-01-26,217,-0.33483492382461855,-0.29489128093976363,2019-01-26
2019-01-19,178,-0.247346682064322,-0.26512042574328903,2019-01-19
2019-01-12,157,-0.10739802669825728,-0.288697299054561,2019-01-12
2019-01-05,110,-0.48998549117185675,-0.3352839319729862,2019-01-05
2018-12-29,57,-0.21575150303872,-0.29814721775720066,2018-12-29
2018-12-22,190,-0.34165417530940995,-0.3183718407869376,2018-12-22
2018-12-15,204,-0.2937445583719581,-0.2825210746661332,2018-12-15
2018-12-08,221,-0.3414386343087146,-0.2768918409055429,2018-12-08
2018-12-01,230,-0.2966499951576679,-0.25221915347722523,2018-12-01
2018-11-24,174,-0.19825111082619223,-0.19742998328516256,2018-11-24
2018-11-17,166,-0.27122762332959693,-0.22239266655918735,2018-11-17
2018-11-10,177,-0.2427478845954439,-0.22851476387483263,2018-11-10
2018-11-03,247,-0.077493314389417,-0.2419932765941845,2018-11-03
2018-10-27,185,-0.2981018439222917,-0.24791615678659812,2018-10-27
2018-10-20,215,-0.29571601259217806,-0.18358692366632887,2018-10-20
2018-10-13,230,-0.296661935472851,-0.111338107700528,2018-10-13
2018-10-06,228,-0.10118483515907165,-0.06796724540404676,2018-10-06
2018-09-29,236,-0.04078491144121475,-0.11750190158958272,2018-09-29
2018-09-22,215,-0.00672074872897459,-0.13170775676712665,2018-09-22
2018-09-15,239,-0.12317848628692608,-0.12889805717494884,2018-09-15
2018-09-08,215,-0.2993234599012154,-0.13480677021389464,2018-09-08
2018-09-01,202,-0.09760833215139054,-0.0946046837903238,2018-09-01
2018-08-25,183,0.00451804963973668,-0.12072949917837204,2018-08-25
2018-08-18,184,-0.14681333844270927,-0.17486747717624537,2018-08-18
2018-08-11,164,-0.13851511420693202,-0.20200151652214587,2018-08-11
2018-08-04,203,-0.20210759370358353,-0.2373538664713447,2018-08-04
2018-07-28,206,-0.21203386235175656,-0.2363770596231174,2018-07-28
2018-07-21,199,-0.25534949582631133,-0.24797459673346417,2018-07-21
2018-07-14,222,-0.27992451400372736,-0.2790380323041425,2018-07-14
2018-07-07,215,-0.1982003663106743,-0.27336572574448625,2018-07-07
2018-06-30,223,-0.2584240107931437,-0.24533744318294595,2018-06-30
2018-06-23,239,-0.37960323810902447,-0.2088413611006596,2018-06-23
2018-06-16,228,-0.2572352877651026,-0.14763369687371408,2018-06-16
2018-06-09,238,-0.08608723606451305,-0.11893180834815809,2018-06-09
2018-06-02,223,-0.11243968246399826,-0.1591727930413683,2018-06-02
2018-05-26,219,-0.1347725812012424,-0.1278410161380499,2018-05-26
2018-05-19,213,-0.1424277336628786,-0.13912652376721124,2018-05-19
2018-05-12,192,-0.24705117483735395,-0.11306176701273736,2018-05-12
2018-05-05,202,0.01288742514927533,-0.07465176859783279,2018-05-05
2018-04-28,207,-0.17991461171788767,-0.17553625864098965,2018-04-28
2018-04-21,231,-0.03816870664498314,-0.1344501988034391,2018-04-21
2018-04-14,192,-0.09341118117773572,-0.1381755794352415,2018-04-14
2018-04-07,218,-0.39065053502335206,-0.13928279715531455,2018-04-07
2018-03-31,171,-0.01557037236768553,-0.0878517801844015,2018-03-31
2018-03-24,258,-0.05307022917219272,-0.1399733800894864,2018-03-24
2018-03-17,217,-0.09784005205802793,-0.12601709063274363,2018-03-17
2018-03-10,245,-0.18492646713969985,-0.07440757806376935,2018-03-10
2018-03-03,242,-0.22405677198802515,-0.02982223985846114,2018-03-03
2018-02-24,184,0.00275492865477835,0.0477286527342077,2018-02-24
