week,Week,Geopolitical (weekly),Geopolitical mood
2021-10-10T00:00:00Z,2021-10-10T00:00:00Z,-0.05193804304433361,-0.05217703665154881
2021-10-03T00:00:00Z,2021-10-03T00:00:00Z,-0.052392228294011745,-0.05127198855705213
2021-09-26T00:00:00Z,2021-09-26T00:00:00Z,-0.04922001394110628,-0.05072165189879031
2021-09-19T00:00:00Z,2021-09-19T00:00:00Z,-0.055157861326743614,-0.05257421305122117
2021-09-12T00:00:00Z,2021-09-12T00:00:00Z,-0.04831785066634687,-0.05501381813683631
2021-09-05T00:00:00Z,2021-09-05T00:00:00Z,-0.0501908816609645,-0.06322162661996172
2021-08-29T00:00:00Z,2021-08-29T00:00:00Z,-0.05663025855082969,-0.06367605956668634
2021-08-22T00:00:00Z,2021-08-22T00:00:00Z,-0.06491628166920418,-0.0627222632533067
2021-08-15T00:00:00Z,2021-08-15T00:00:00Z,-0.08114908459884851,-0.058231680250660965
2021-08-08T00:00:00Z,2021-08-08T00:00:00Z,-0.052008613447863006,-0.052778866874829584
2021-08-01T00:00:00Z,2021-08-01T00:00:00Z,-0.052815073297311076,-0.05392936914511368
2021-07-25T00:00:00Z,2021-07-25T00:00:00Z,-0.046953949658621263,-0.05373440673476412
2021-07-18T00:00:00Z,2021-07-18T00:00:00Z,-0.059337831095522986,-0.054421333443117795
2021-07-11T00:00:00Z,2021-07-11T00:00:00Z,-0.05661062252899941,-0.05278989801560477
2021-07-04T00:00:00Z,2021-07-04T00:00:00Z,-0.052035223655912836,-0.05205636621955822
2021-06-27T00:00:00Z,2021-06-27T00:00:00Z,-0.04970165649203594,-0.05200458014047646
2021-06-20T00:00:00Z,2021-06-20T00:00:00Z,-0.05281208938547087,-0.05148747861317689
2021-06-13T00:00:00Z,2021-06-13T00:00:00Z,-0.053676495344813224,-0.05313437066486965
2021-06-06T00:00:00Z,2021-06-06T00:00:00Z,-0.05182807933958579,-0.0546775240502828
2021-05-30T00:00:00Z,2021-05-30T00:00:00Z,-0.04763325038283767,-0.05520623052076426
2021-05-23T00:00:00Z,2021-05-23T00:00:00Z,-0.059399657592241924,-0.05448437702479197
2021-05-16T00:00:00Z,2021-05-16T00:00:00Z,-0.05984910888646582,-0.05076988098998299
2021-05-09T00:00:00Z,2021-05-09T00:00:00Z,-0.05394290522151164,-0.04860088787919872
2021-05-02T00:00:00Z,2021-05-02T00:00:00Z,-0.04474583639894848,-0.04917424641529923
2021-04-25T00:00:00Z,2021-04-25T00:00:00Z,-0.04454167345300601,-0.05082291703420723
2021-04-18T00:00:00Z,2021-04-18T00:00:00Z,-0.05117313644332878,-0.0539725486083464
2021-04-11T00:00:00Z,2021-04-11T00:00:00Z,-0.05623633936591365,-0.05820129336253335
2021-04-04T00:00:00Z,2021-04-04T00:00:00Z,-0.0513405188745805,-0.058525119875712524
2021-03-28T00:00:00Z,2021-03-28T00:00:00Z,-0.057140199749562685,-0.057435669619794946
2021-03-21T00:00:00Z,2021-03-21T00:00:00Z,-0.06808811546007658,-0.05681962121529614
2021-03-14T00:00:00Z,2021-03-14T00:00:00Z,-0.05753164541863032,-0.05246820847649401
2021-03-07T00:00:00Z,2021-03-07T00:00:00Z,-0.046982717850910204,-0.051351725711051135
2021-02-28T00:00:00Z,2021-02-28T00:00:00Z,-0.05467600613156746,-0.05327798764881863
2021-02-21T00:00:00Z,2021-02-21T00:00:00Z,-0.05068246450486807,-0.05441196315754501
2021-02-14T00:00:00Z,2021-02-14T00:00:00Z,-0.053065714356858806,-0.05718102332724509
2021-02-07T00:00:00Z,2021-02-07T00:00:00Z,-0.054687765601980194,-0.05773340465900951
2021-01-31T00:00:00Z,2021-01-31T00:00:00Z,-0.05921190816647298,-0.06211816525140503
2021-01-24T00:00:00Z,2021-01-24T00:00:00Z,-0.06175870518366838,-0.06415604538847164
2021-01-17T00:00:00Z,2021-01-17T00:00:00Z,-0.055275239683916476,-0.061129808890981775
2021-01-10T00:00:00Z,2021-01-10T00:00:00Z,-0.07222680797156228,-0.06174204363211662
2021-01-03T00:00:00Z,2021-01-03T00:00:00Z,-0.06736342871473941,-0.05563014740841982
2020-12-27T00:00:00Z,2020-12-27T00:00:00Z,-0.049653759193708936,-0.05172255825860302
2020-12-20T00:00:00Z,2020-12-20T00:00:00Z,-0.05772417864845585,-0.05315460351444147
2020-12-13T00:00:00Z,2020-12-13T00:00:00Z,-0.04777922307677508,-0.0512571255923568
2020-12-06T00:00:00Z,2020-12-06T00:00:00Z,-0.051733072115472234,-0.05315948280652469
2020-11-29T00:00:00Z,2020-11-29T00:00:00Z,-0.055381940217062706,-0.05156912303187458
2020-11-22T00:00:00Z,2020-11-22T00:00:00Z,-0.05013426696011718,-0.05139519768812287
