date,geo,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Jul 2025,Aug 2025,Sep 2025,Policy rate
2022-07-15,Fed,,,,,,,,,,,,,,,,,,1.625
2022-07-16,Fed,,,,,,,,,,,,,,,,,,1.625
2022-07-17,Fed,,,,,,,,,,,,,,,,,,1.625
2022-07-18,Fed,,,,,,,,,,,,,,,,,,1.625
2022-07-19,Fed,,,,,,,,,,,,,,,,,,1.625
2022-07-20,Fed,,,,,,,,,,,,,,,,,,1.625
2022-07-21,Fed,,,,,,,,,,,,,,,,,,1.625
2022-07-22,Fed,,,,,,,,,,,,,,,,,,1.625
2022-07-23,Fed,,,,,,,,,,,,,,,,,,1.625
2022-07-24,Fed,,,,,,,,,,,,,,,,,,1.625
2022-07-25,Fed,,,,,,,,,,,,,,,,,,1.625
2022-07-26,Fed,,,,,,,,,,,,,,,,,,1.625
2022-07-27,Fed,,,,,,,,,,,,,,,,,,1.625
2022-07-28,Fed,,,,,,,,,,,,,,,,,,2.375
2022-07-29,Fed,,,,,,,,,,,,,,,,,,2.375
2022-07-30,Fed,,,,,,,,,,,,,,,,,,2.375
2022-07-31,Fed,,,,,,,,,,,,,,,,,,2.375
2022-07-31,Fed,,,,,,,,,,,,,,,,,,2.375
2022-07-31,Fed,,,,,,,,,,,,,,,,,,2.375
2022-07-31,Fed,,,,,,,,,,,,,,,,,,2.375
2022-07-31,Fed,,,,,,,,,,,,,,,,,,2.375
2022-07-31,Fed,,,,,,,,,,,,,,,,,,2.375
2022-07-31,Fed,,,,,,,,,,,,,,,,,,2.375
2022-07-31,Fed,,,,,,,,,,,,,,,,,,2.375
2022-07-31,Fed,,,,,,,,,,,,,,,,,,2.375
2022-07-31,Fed,,,,,,,,,,,,,,,,,,2.375
2022-07-31,Fed,,,,,,,,,,,,,,,,,,2.375
2022-07-31,Fed,,,,,,,,,,,,,,,,,,2.375
2022-07-31,Fed,,,,,,,,,,,,,,,,,,2.375
2022-07-31,Fed,,,,,,,,,,,,,,,,,,2.375
2022-08-01,Fed,,,,,,,,,,,,,,,,,,2.375
2022-08-02,Fed,,,,,,,,,,,,,,,,,,2.375
2022-08-03,Fed,,,,,,,,,,,,,,,,,,2.375
2022-08-04,Fed,,,,,,,,,,,,,,,,,,2.375
2022-08-05,Fed,,,,,,,,,,,,,,,,,,2.375
2022-08-06,Fed,,,,,,,,,,,,,,,,,,2.375
2022-08-07,Fed,,,,,,,,,,,,,,,,,,2.375
2022-08-08,Fed,,,,,,,,,,,,,,,,,,2.375
2022-08-09,Fed,,,,,,,,,,,,,,,,,,2.375
2022-08-10,Fed,,,,,,,,,,,,,,,,,,2.375
2022-08-11,Fed,,,,,,,,,,,,,,,,,,2.375
2022-08-12,Fed,,,,,,,,,,,,,,,,,,2.375
2022-08-13,Fed,,,,,,,,,,,,,,,,,,2.375
2022-08-14,Fed,,,,,,,,,,,,,,,,,,2.375
2022-08-15,Fed,,,,,,,,,,,,,,,,,,2.375
2022-08-16,Fed,,,,,,,,,,,,,,,,,,2.375
2022-08-17,Fed,,,,,,,,,,,,,,,,,,2.375
2022-08-18,Fed,,,,,,,,,,,,,,,,,,2.375
2022-08-19,Fed,,,,,,,,,,,,,,,,,,2.375
2022-08-20,Fed,,,,,,,,,,,,,,,,,,2.375
2022-08-21,Fed,,,,,,,,,,,,,,,,,,2.375
2022-08-22,Fed,,,,,,,,,,,,,,,,,,2.375
2022-08-23,Fed,,,,,,,,,,,,,,,,,,2.375
2022-08-24,Fed,,,,,,,,,,,,,,,,,,2.375
2022-08-25,Fed,,,,,,,,,,,,,,,,,,2.375
2022-08-26,Fed,,,,,,,,,,,,,,,,,,2.375
2022-08-27,Fed,,,,,,,,,,,,,,,,,,2.375
2022-08-28,Fed,,,,,,,,,,,,,,,,,,2.375
2022-08-29,Fed,,,,,,,,,,,,,,,,,,2.375
2022-08-30,Fed,,,,,,,,,,,,,,,,,,2.375
2022-08-31,Fed,,,,,,,,,,,,,,,,,,2.375
2022-08-31,Fed,,,,,,,,,,,,,,,,,,2.375
2022-08-31,Fed,,,,,,,,,,,,,,,,,,2.375
2022-08-31,Fed,,,,,,,,,,,,,,,,,,2.375
2022-08-31,Fed,,,,,,,,,,,,,,,,,,2.375
2022-08-31,Fed,,,,,,,,,,,,,,,,,,2.375
2022-08-31,Fed,,,,,,,,,,,,,,,,,,2.375
2022-08-31,Fed,,,,,,,,,,,,,,,,,,2.375
2022-08-31,Fed,,,,,,,,,,,,,,,,,,2.375
2022-08-31,Fed,,,,,,,,,,,,,,,,,,2.375
2022-08-31,Fed,,,,,,,,,,,,,,,,,,2.375
2022-08-31,Fed,,,,,,,,,,,,,,,,,,2.375
2022-08-31,Fed,,,,,,,,,,,,,,,,,,2.375
2022-08-31,Fed,,,,,,,,,,,,,,,,,,2.375
2022-09-01,Fed,,,,,,,,,,,,,,,,,,2.375
